url,type
https://google.com,benign
https://microsoft.com,benign
https://amazon.com,benign
https://apple.com,benign
https://youtube.com,benign
https://wikipedia.org,benign
https://linkedin.com,benign
https://instagram.com,benign
https://facebook.com,benign
https://netflix.com,benign
https://spotify.com,benign
https://adobe.com,benign
https://mozilla.org,benign
https://samsung.com,benign
https://www.kaggle.com/code/satyamkarn100/financial-transactions-eda,benign
https://github.com/satyamkarn100-ctrl/CyberShield-Threat-Detector,benign
https://www.instagram.com/_satyam_karn_100?igsh=MWE0MXNvenN0ZjEyZQ==,benign
https://huggingface.co/Satyamkarn100,benign


https://global68.eu.cc/1254168848,phishing
https://alegriadefimdeano.vercel.app/,phishing
https://extranet.pb3.duckdns.org/,phishing
https://boukake.direc4571512.pro/,phishing
https://boukake.direc4571512.pro/captcha.php,phishing
https://yoda.direc4571512.pro/,phishing
https://yoda.direc4571512.pro/captcha.php,phishing
https://ouhari.direc4571512.pro/,phishing
https://ouhari.direc4571512.pro/captcha.php,phishing
https://madgeff.direc4571512.pro/,phishing
https://madgeff.direc4571512.pro/captcha.php,phishing
https://marmoud.direc4571512.pro/,phishing
https://marmoud.direc4571512.pro/captcha.php,phishing
http://allegrolokalnie.ofertaa4506203531652.cfd/oferta/nowy-glosnik-jbl-party-box-stage-320?fbclid=iwy2xjawtyz1lwzg9mbwv4dg4dywvtajewagjyawqrmgviqwzkcxpzvnngttr0m1fzcnrjbmfwcf9pzbaymjiwmzkxnzg4mjawodkyaaeesqytzlmjzl8b9-n5sxrr8pou5bfjhhyey6s2jrztzdpcxjokub9bwddrl_q_aem_eu0my-4987sndvylzi-icg,phishing


https://192.142.53.225/Bin/ScreenConnect.ClientSetup.exe,malware
https://hypercorevector5.lol/noncrypt/21-32/arFtU.exe,malware
https://hypercorevector5.lol/noncrypt/21-32/hnmh.exe,malware
https://79.133.57.37/Bin/ScreenConnect.ClientSetup.exe,malware
http://91.92.242.236/files-129312398/files/file_ae0cbdb600ff92fa.exe,malware
http://132.243.200.43/nullnet_bin_dir/nullnet_load.i686,malware
http://132.243.200.43/nullnet_bin_dir/nullnet_load.arm,malware
http://132.243.200.43/nullnet_bin_dir/nullnet_load.arm6,malware
http://222.139.229.134:40628/bin.sh,malware
http://31.77.227.134/bins/pspc,malware
https://sunix-technology.com/images/MSI_PRO.png,malware
https://drive.google.com/uc?export=download&id=1zDAuolFaqf-s5nc96PTj-NMi5vlJTvMM,malware
https://drive.google.com/uc?export=download&id=1zDAuolFaqf-s5nc96PTj-NMi5vlJTvMM,malware
https://mitraperijinan.co.id/wp-content/uploads/2026/Updater.exe,malware
http://cryptomeshforge10.lol/crypt/21-32/kliulij.exe,malware
https://quill-flint.com/curl/2h0w4vtm7c/7b4cckfhojxjbrcjon.json,malware

http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,defacement
http://www.vnic.co/khach-hang.html,defacement
http://www.raci.it/component/user/reset.html,defacement
http://www.kingsmillshotel.com/spring/mothers-day,defacement
http://www.approvi.com.br/ck.htm,defacement
http://www.juventudelirica.com.br/index.html,defacement
http://www.protect-effect.nl/diensten/62-telefonie,defacement
http://www.boeuf-soufflenheim.com/de.feed?type=rss,defacement
http://www.trenker-bestattungen.de/index.php?option=com_content&view=article&id=13&Itemid=14,defacement
http://www.aba-diagnostic.com/espace-prive/reset.html,defacement
http://www.vanoorschotkranen.nl/hoogwerker/hoogwerkers.pdf,defacement
http://www.clinicatecma.es/index.php/densiometria,defacement
http://www.perthshire-caravans.co.uk/stock-list/caravans/706-elddis-odyssey-540,defacement
http://www.versverwerktegroenten.nl/bruine-bonen.html,defacement
http://ecoledecoiffurecarolinelaprise.com/formations/pose-ongles/108.html,defacement
